證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","9,849,000","827,110,850","84.00","84.20","83.50","83.80","-0.10","7,520"
"0051","元大中型100","45,000","1,526,740","33.73","34.06","33.73","34.04","+0.37","17"
"0052","富邦科技","122,000","7,719,600","63.65","63.65","63.05","63.25","-0.30","17"
"0053","元大電子","17,000","654,000","38.52","38.52","38.43","38.45","+0.15","12"
"0054","元大台商50","131,000","2,980,480","22.78","22.82","22.75","22.75","+0.06","8"
"0055","元大MSCI金融","24,000","409,910","17.10","17.12","17.04","17.05","-0.05","21"
"0056","元大高股息","11,311,000","310,938,360","27.43","27.54","27.42","27.48","+0.05","5,802"
"0057","富邦摩台","50,000","2,766,800","55.40","55.40","55.25","55.25"," 0.00","9"
"0061","元大寶滬深","665,000","11,655,170","17.52","17.59","17.43","17.54","+0.02","137"
"006203","元大MSCI台灣","4,000","157,470","39.45","39.46","39.26","39.26","-0.07","4"
"006204","永豐臺灣加權","25,000","1,356,250","54.25","54.25","54.25","54.25","+0.25","3"
"006205","富邦上証","3,129,000","91,302,060","29.20","29.24","29.10","29.24","+0.07","756"
"006206","元大上證50","530,000","16,151,180","30.46","30.55","30.36","30.55","+0.09","213"
"006207","FH滬深","481,000","10,989,390","22.76","22.91","22.76","22.90","+0.07","313"
"006208","富邦台50","711,000","34,117,320","48.03","48.14","47.84","47.95"," 0.00","232"
"00625K","富邦上証+R","50,000","350,500","7.01","7.01","7.01","7.01","+0.01","2"
"00631L","元大台灣50正2","7,068,000","311,737,740","44.20","44.39","43.72","44.00","+0.18","1,965"
"00632R","元大台灣50反1","70,956,000","728,934,040","10.27","10.32","10.24","10.29","-0.01","6,163"
"00633L","富邦上証正2","6,768,000","285,110,640","42.01","42.40","41.93","42.25","+0.19","977"
"00634R","富邦上証反1","517,000","2,956,510","5.74","5.74","5.71","5.72"," 0.00","64"
"00635U","元大S&P黃金","1,340,000","33,268,650","24.75","24.86","24.75","24.83","+0.22","555"
"00636","國泰中國A50","2,508,000","51,032,560","20.33","20.41","20.26","20.40","+0.09","823"
"00636K","國泰中國A50+U","100","676","6.76","6.76","6.76","6.76","+0.01","1"
"00637L","元大滬深300正2","44,497,000","723,315,320","16.20","16.35","16.18","16.30","+0.07","3,135"
"00638R","元大滬深300反1","386,000","4,444,690","11.56","11.56","11.49","11.49","-0.04","68"
"00639","富邦深100","3,051,000","34,750,140","11.40","11.44","11.37","11.40","+0.01","526"
"00640L","富邦日本正2","971,000","16,373,600","16.76","16.97","16.73","16.89","+0.19","187"
"00641R","富邦日本反1","685,000","10,120,060","14.81","14.82","14.72","14.77","-0.07","99"
"00642U","元大S&P石油","23,273,000","223,016,120","9.50","9.64","9.50","9.60","-0.04","6,531"
"00643","群益深証中小","1,471,000","20,161,730","13.74","13.76","13.65","13.73","+0.08","850"
"00643K","群益深証中小+R","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"00645","富邦日本","79,000","1,530,610","19.25","19.40","19.25","19.36","+0.16","11"
"00646","元大S&P500","436,000","11,705,430","26.81","26.90","26.80","26.87","-0.10","217"
"00647L","元大S&P500正2","1,931,000","61,523,970","31.86","32.17","31.50","32.13","-0.21","290"
"00648R","元大S&P500反1","1,696,000","19,000,310","11.22","11.23","11.18","11.18","+0.03","154"
"00650L","FH香港正2","248,000","5,477,390","22.08","22.26","21.92","22.01","+0.01","80"
"00651R","FH香港反1","186,000","1,650,430","8.87","8.91","8.84","8.87","-0.02","33"
"00652","富邦印度","1,589,000","26,291,910","16.63","16.64","16.46","16.53","-0.21","512"
"00653L","富邦印度正2","12,577,000","180,537,730","14.27","14.58","14.21","14.43","-0.22","2,323"
"00654R","富邦印度反1","160,000","2,654,950","16.70","16.70","16.48","16.50","+0.07","52"
"00655L","國泰中國A50正2","3,347,000","102,523,890","30.54","30.80","30.47","30.72","+0.15","443"
"00656R","國泰中國A50反1","145,000","1,513,670","10.46","10.46","10.43","10.45","-0.01","13"
"00657","國泰日經225","102,000","2,618,200","25.49","25.71","25.49","25.67","+0.22","4"
"00657K","國泰日經225+U","100","855","8.55","8.55","8.55","8.55","+0.07","1"
"00660","元大歐洲50","19,000","391,550","20.60","20.65","20.56","20.65","-0.12","13"
"00661","元大日經225","32,000","832,230","25.95","26.01","25.95","26.01","X0.00","3"
"00662","富邦NASDAQ","463,000","16,691,230","35.99","36.17","35.96","36.07","-0.04","78"
"00663L","國泰臺灣加權正2","340,000","13,476,930","39.63","39.85","39.23","39.47","+0.08","48"
"00664R","國泰臺灣加權反1","4,620,000","53,945,190","11.67","11.73","11.63","11.69","-0.01","368"
"00665L","富邦恒生國企正2","157,000","3,310,720","20.80","21.20","20.80","21.01","+0.09","32"
"00666R","富邦恒生國企反1","81,000","1,111,330","13.73","13.73","13.72","13.72","-0.01","3"
"00668","國泰美國道瓊","548,000","14,526,340","26.50","26.57","26.45","26.53","-0.25","172"
"00668K","國泰美國道瓊+U","100","885","8.85","8.85","8.85","8.85"," 0.00","1"
"00669R","國泰美國道瓊反1","5,006,000","61,573,030","12.32","12.32","12.27","12.29","+0.08","603"
"00670L","富邦NASDAQ正2","845,000","38,158,180","45.00","45.35","44.95","45.29","+0.26","246"
"00671R","富邦NASDAQ反1","1,483,000","13,873,940","9.38","9.38","9.34","9.36","-0.01","214"
"00672L","元大S&P原油正2","26,569,000","68,504,290","2.50","2.65","2.50","2.59","-0.09","2,073"
"00673R","元大S&P原油反1","732,000","27,872,010","38.31","38.33","37.84","37.88","-0.13","222"
"00674R","元大S&P黃金反1","494,000","6,878,030","13.96","13.96","13.90","13.94","-0.09","105"
"00675L","富邦臺灣加權正2","475,000","8,203,540","17.28","17.36","17.12","17.21","+0.05","200"
"00676R","富邦臺灣加權反1","1,941,000","12,251,270","6.31","6.35","6.29","6.33"," 0.00","232"
"00677U","富邦VIX","146,562,000","937,856,420","6.41","6.45","6.36","6.40","+0.16","9,625"
"00678","群益NBI生技","586,000","14,987,630","25.52","25.77","25.50","25.51","-0.41","67"
"00680L","元大美債20正2","123,000","3,949,340","32.07","32.14","32.05","32.11","+0.06","44"
"00681R","元大美債20反1","4,000","50,920","12.76","12.76","12.72","12.72","-0.04","2"
"00682U","元大美元指數","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"00683L","元大美元指數正2","4,000","80,560","20.14","20.14","20.14","20.14","-0.03","2"
"00684R","元大美元指數反1","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"00685L","群益臺灣加權正2","16,000","235,250","14.69","14.82","14.64","14.64","-0.06","15"
"00686R","群益臺灣加權反1","111,000","763,160","6.87","6.91","6.86","6.89"," 0.00","46"
"00688L","國泰20年美債正2","100,000","3,263,000","32.63","32.63","32.63","32.63","+0.11","2"
"00689R","國泰20年美債反1","100,000","1,305,000","13.05","13.05","13.05","13.05","-0.02","2"
"00690","兆豐藍籌30","182,000","3,990,450","21.95","22.00","21.90","21.90","+0.05","22"
"00691R","兆豐藍籌30反1","1,000","13,940","13.94","13.94","13.94","13.94","-0.06","1"
"00692","富邦公司治理","1,796,000","39,194,990","21.85","21.88","21.72","21.82","+0.05","419"
"00693U","街口S&P黃豆","2,058,000","28,255,840","13.71","13.76","13.70","13.73","+0.02","476"
"00700","富邦恒生國企","102,000","1,892,030","18.55","18.55","18.48","18.55"," 0.00","4"
"00701","國泰股利精選30","1,441,000","28,972,960","20.10","20.14","20.07","20.11","+0.05","516"
"00702","國泰標普低波高息","5,000","78,720","15.70","15.78","15.70","15.76","-0.13","5"
"00703","台新MSCI中國","121,000","2,534,360","20.86","21.02","20.86","20.92","+0.13","36"
"00706L","元大S&P日圓正2","29,000","497,980","17.16","17.20","17.14","17.20","-0.12","9"
"00707R","元大S&P日圓反1","1,000","19,630","19.63","19.63","19.63","19.63","+0.07","1"
"00708L","元大S&P黃金正2","5,856,000","167,579,320","28.45","28.70","28.45","28.59","+0.47","1,286"
"00709","富邦歐洲","125,000","2,169,790","17.33","17.38","17.30","17.30","-0.12","11"
"00710B","FH彭博高收益債","1,355,000","24,583,920","18.17","18.17","18.11","18.12","+0.08","68"
"00711B","FH彭博新興債","684,000","14,444,920","21.10","21.16","21.10","21.16","+0.11","11"
"00712","FH富時不動產","3,581,000","33,609,570","9.25","9.50","9.25","9.49","+0.17","952"
"00713","元大台灣高息低波","44,000","1,351,110","30.81","30.81","30.65","30.70","-0.01","27"
"00714","群益道瓊美國地產","7,000","119,250","17.04","17.05","17.01","17.05","-0.07","5"
"00715L","街口布蘭特油正2","17,585,000","97,902,990","5.49","5.65","5.49","5.58","-0.02","1,320"
"00717","富邦美國特別股","712,000","11,577,890","16.23","16.29","16.23","16.29","+0.06","128"
"00728","第一金工業30","339,000","6,426,050","18.97","19.03","18.90","18.96","+0.07","43"
"00730","富邦臺灣優質高息","427,000","7,109,100","16.70","16.70","16.61","16.63","-0.06","149"
"00731","FH富時高息低波","420,000","18,628,850","44.43","44.43","44.25","44.27","+0.01","29"
"00732","國泰RMB短期報酬","100,000","3,800,000","38.00","38.00","38.00","38.00","-0.02","2"
"00733","富邦臺灣中小","241,000","4,946,730","20.37","20.55","20.35","20.47"," 0.00","15"
"00735","國泰臺韓科技","181,000","3,524,380","19.47","19.52","19.42","19.46","+0.08","15"
"00736","國泰新興市場","514,000","8,931,730","17.20","17.43","17.20","17.38","+0.21","49"
"00737","國泰AI+Robo","676,000","14,735,320","21.67","21.89","21.60","21.87","+0.22","243"
"00738U","元大道瓊白銀","7,622,000","150,867,790","19.51","19.86","19.51","19.80","+0.68","1,184"
"00739","元大MSCI A股","239,000","4,999,190","20.90","21.00","20.89","20.90"," 0.00","28"
"00742","新光內需收益","283,000","5,740,700","20.28","20.30","20.27","20.30","+0.06","10"
"00743","國泰中國A150","58,000","1,208,920","20.88","20.89","20.76","20.86","+0.07","13"
"00752","中信中國50","2,978,000","70,762,050","23.71","23.85","23.65","23.83","+0.27","682"
"00753L","中信中國50正2","426,000","10,487,180","24.55","24.80","24.45","24.53","+0.28","166"
"00757","統一FANG+","260,000","7,282,810","28.00","28.02","27.90","28.02","+0.17","30"
"00762","元大全球AI","791,000","21,088,680","26.51","26.73","26.51","26.65","+0.31","476"
"00763U","街口道瓊銅","98,000","1,620,140","16.50","16.57","16.50","16.57","+0.07","31"
"00766L","台新MSCI中國正2","418,000","3,831,510","9.15","9.24","9.11","9.15","+0.05","62"
"00770","國泰北美科技","41,000","1,062,120","25.86","25.98","25.86","25.98","+0.16","13"
"00771","元大US高息特別股","71,000","1,318,770","18.56","18.59","18.53","18.59","+0.09","37"
"00774B","新光中國政金綠債","746,000","29,409,920","39.46","39.46","39.39","39.40","-0.07","29"
"00774C","新光中政金綠債+R","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"00775B","新光投等債15+","4,000","178,960","44.68","44.80","44.68","44.80","+0.50","3"
"00776","新光ICE美國權值","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"00783","富邦中証500","1,058,000","19,420,560","18.35","18.45","18.31","18.33"," 0.00","46"
"008201","BP上證50","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"00830","國泰費城半導體","1,562,000","26,483,970","16.88","17.00","16.88","16.99","+0.10","391"
"00850","元大臺灣ESG永續","1,224,000","25,821,210","21.11","21.15","21.00","21.07","+0.04","489"
"00851","台新全球AI","329,000","7,382,220","22.36","22.45","22.36","22.45","+0.22","33"
"00852L","國泰美國道瓊正2","15,312,000","169,490,420","11.03","11.12","11.02","11.11","-0.15","1,742"
"00861","元大全球未來通訊","3,057,000","60,838,800","19.89","19.93","19.86","19.90","+0.01","889"
"00865B","國泰US短期公債","114,000","4,508,640","39.55","39.55","39.54","39.54","-0.01","6"
"00866","新光Shiller CAPE","29,000","521,130","17.97","17.97","17.97","17.97","-0.02","3"
"00875","國泰網路資安","1,687,000","38,625,370","22.84","22.96","22.82","22.95","+0.15","463"
"01001T","土銀富邦R1","6,000","96,950","16.15","16.17","16.15","16.17","+0.02","4"
"01002T","土銀國泰R1","57,000","963,190","16.90","16.92","16.89","16.90","X0.00","21"
"01003T","兆豐新光R1","222,000","4,162,750","18.71","18.80","18.71","18.75","+0.04","13"
"01004T","土銀富邦R2","6,000","85,380","14.23","14.23","14.23","14.23"," 0.00","3"
"01007T","兆豐國泰R2","23,000","399,430","17.51","17.51","17.34","17.51","X0.00","22"
"01009T","王道圓滿R1","10,000","92,760","9.28","9.28","9.27","9.27","+0.06","3"
"01010T","京城樂富R1","174,000","1,725,520","9.92","9.92","9.90","9.91","-0.01","16"
"020000","富邦特選蘋果N","51,000","254,740","4.99","5.00","4.98","4.99"," 0.00","11"
"020002","元富新中國N","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"020004","兆豐電菁英30N","2,000","43,380","21.69","21.69","21.69","21.69","X0.00","1"
"020006","永昌中小300N","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"020007","凱基臺灣500N","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"020008","元大特股高息N","14,000","144,400","10.32","10.33","10.31","10.31","-0.01","7"
"020011","統一微波高息20N","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"020012","富邦行動通訊N","875,000","4,360,880","4.97","5.00","4.96","4.97","+0.01","60"
"020015","統一MSCI美低波N","322,000","3,793,170","11.76","11.80","11.75","11.79","-0.07","68"
"020016","統一MSCI美科技N","81,000","1,003,160","12.37","12.41","12.36","12.41","+0.02","29"
"02001L","富邦蘋果正二N","1,000","5,630","5.63","5.63","5.63","5.63","+0.02","1"
"02001R","富邦蘋果反一N","66,000","309,370","4.67","4.71","4.65","4.71","+0.01","14"
"1101","台泥","11,131,000","479,187,950","43.20","43.20","42.90","42.90","-0.10","3,893"
"1101B","台泥乙特","5,000","271,500","53.90","54.50","53.90","54.50","X0.00","5"
"1102","亞泥","8,584,000","377,289,300","44.00","44.05","43.75","43.90","-0.15","2,906"
"1103","嘉泥","568,000","9,127,750","16.15","16.15","16.00","16.10","-0.10","186"
"1104","環泥","276,000","4,865,200","17.65","17.75","17.55","17.70","+0.10","146"
"1108","幸福","511,000","4,478,790","8.81","8.82","8.72","8.80","-0.01","129"
"1109","信大","183,000","3,188,450","17.50","17.50","17.30","17.30","-0.10","74"
"1110","東泥","106,000","1,663,150","15.85","16.15","15.50","15.65","-0.20","50"
"1201","味全","840,000","18,691,400","22.30","22.45","22.05","22.15","-0.15","385"
"1203","味王","85,000","2,409,600","28.40","28.50","28.15","28.20","-0.20","44"
"1210","大成","4,366,000","192,577,950","44.75","44.90","43.80","43.85","-0.95","2,574"
"1213","大飲","13,000","75,920","5.76","6.08","5.76","5.80","-0.05","7"
"1215","卜蜂","1,061,000","75,242,700","71.00","71.10","70.60","70.80","-0.20","667"
"1216","統一","7,544,000","536,337,400","71.00","71.30","70.60","71.30","+1.10","3,694"
"1217","愛之味","1,005,000","7,177,660","7.19","7.20","7.12","7.13","-0.01","329"
"1218","泰山","1,042,000","25,538,350","24.45","24.90","24.25","24.30","-0.05","548"
"1219","福壽","83,000","1,583,150","19.10","19.40","19.00","19.40","+0.20","46"
"1220","台榮","207,000","2,183,350","10.50","10.60","10.50","10.55","+0.05","60"
"1225","福懋油","94,000","3,556,150","37.80","38.15","37.50","37.65","-0.15","33"
"1227","佳格","807,000","53,894,000","67.20","67.20","66.30","66.30","-0.40","536"
"1229","聯華","3,759,000","157,724,750","42.30","42.40","41.65","41.80","-0.50","1,852"
"1231","聯華食","118,000","4,891,400","41.40","41.50","41.35","41.50","+0.10","74"
"1232","大統益","27,000","3,186,500","118.00","118.50","117.50","118.50","+0.50","22"
"1233","天仁","27,000","981,600","35.55","36.80","35.55","35.80","+0.25","19"
"1234","黑松","63,000","2,014,400","32.05","32.15","31.85","31.85","-0.20","46"
"1235","興泰","7,000","181,150","26.10","26.10","25.60","25.60","+0.10","6"
"1236","宏亞","23,000","273,650","11.90","11.90","11.85","11.85"," 0.00","11"
"1256","鮮活果汁-KY","67,000","13,594,000","202.50","204.00","201.00","203.50","+0.50","52"
"1301","台塑","6,001,000","517,680,100","86.80","86.90","85.40","86.40","+0.20","3,348"
"1303","南亞","4,043,000","257,848,100","64.00","64.00","63.40","63.90","+0.30","2,083"
"1304","台聚","3,227,000","39,200,900","12.30","12.30","12.05","12.20","-0.20","1,136"
"1305","華夏","7,297,000","141,791,650","19.90","20.00","19.10","19.20","-0.70","3,203"
"1307","三芳","1,796,000","44,681,350","24.05","25.60","24.00","24.75","+0.50","1,077"
"1308","亞聚","3,258,000","57,220,900","17.80","17.80","17.40","17.70","-0.10","1,456"
"1309","台達化","25,158,000","300,378,300","11.75","12.55","11.30","12.30","+0.65","6,966"
"1310","台苯","2,579,000","42,936,800","16.90","16.90","16.50","16.50","-0.35","1,236"
"1312","國喬","26,442,000","406,125,650","15.40","15.70","15.00","15.15"," 0.00","8,264"
"1312A","國喬特","3,000","91,950","30.70","30.70","30.55","30.55","-0.25","2"
"1313","聯成","861,000","8,144,380","9.47","9.52","9.40","9.41","-0.11","326"
"1314","中石化","17,687,000","149,270,280","8.52","8.53","8.35","8.39","-0.03","4,157"
"1315","達新","1,777,000","93,302,400","51.50","54.00","51.20","53.90","+2.20","883"
"1316","上曜","263,000","2,943,400","11.20","11.25","11.10","11.15","-0.05","126"
"1319","東陽","2,678,000","98,483,200","36.50","37.50","36.00","37.50","+1.15","1,461"
"1321","大洋","114,000","3,430,750","30.40","30.40","30.00","30.05","-0.25","63"
"1323","永裕","67,000","2,216,650","33.05","33.20","32.90","33.20","+0.40","48"
"1324","地球","70,000","656,250","9.19","9.43","9.19","9.37","+0.11","22"
"1325","恆大","10,510,000","1,560,810,000","149.50","149.50","143.00","149.50","+13.50","4,983"
"1326","台化","5,361,000","392,754,900","73.50","73.60","72.90","73.20"," 0.00","2,529"
"1337","再生-KY","1,449,000","7,595,500","5.45","5.45","5.10","5.13","-0.13","424"
"1338","廣華-KY","466,000","24,019,700","50.60","52.60","50.50","52.10","+1.40","391"
"1339","昭輝","2,613,000","112,233,400","42.00","44.25","41.70","43.00","+1.00","1,765"
"1340","勝悅-KY","497,000","5,167,400","10.30","10.60","10.15","10.40","+0.20","238"
"1341","富林-KY","20,000","1,217,100","61.90","61.90","60.60","61.80","-0.10","13"
"1402","遠東新","24,104,000","664,880,100","27.40","27.90","27.10","27.60","+0.20","9,614"
"1409","新纖","1,931,000","21,155,650","11.05","11.05","10.90","10.90","-0.15","627"
"1410","南染","2,000","61,250","30.80","30.80","30.45","30.45","-0.35","2"
"1413","宏洲","134,000","941,220","7.08","7.08","7.00","7.02","-0.06","25"
"1414","東和","123,000","796,520","6.49","6.50","6.45","6.47"," 0.00","37"
"1416","廣豐","148,000","1,645,750","11.15","11.15","11.10","11.10","-0.10","50"
"1417","嘉裕","326,000","2,604,670","8.09","8.09","7.92","7.92","-0.06","113"
"1418","東華","14,000","78,450","5.62","5.63","5.50","5.50","+0.37","7"
"1419","新紡","32,000","1,299,200","41.75","41.75","40.20","40.50","-1.25","30"
"1423","利華","53,000","570,250","10.75","10.80","10.75","10.75"," 0.00","18"
"1432","大魯閣","131,000","744,650","5.68","5.82","5.63","5.74","-0.10","54"
"1434","福懋","1,406,000","47,697,650","33.85","34.10","33.80","33.95","+0.05","628"
"1435","中福","131,000","1,064,790","8.22","8.22","8.08","8.12","-0.06","57"
"1436","華友聯","51,000","1,886,350","37.55","37.55","36.80","36.80","-0.40","45"
"1437","勤益控","95,000","1,947,650","20.55","20.60","20.45","20.50","-0.10","40"
"1438","裕豐","7,000","89,850","12.90","12.95","12.60","12.95","-0.60","7"
"1439","中和","424,000","14,584,500","34.10","34.75","34.10","34.30","-0.50","242"
"1440","南紡","816,000","7,188,080","8.75","8.85","8.75","8.81","+0.06","313"
"1441","大東","36,000","249,420","6.95","6.95","6.87","6.94","-0.03","23"
"1442","名軒","76,000","1,337,250","17.65","17.75","17.50","17.50","+0.05","51"
"1443","立益","72,000","632,100","8.68","8.99","8.68","8.99","+0.31","30"
"1444","力麗","1,336,000","9,318,200","7.02","7.06","6.91","6.91","-0.14","446"
"1445","大宇","191,000","1,595,820","8.32","8.42","8.30","8.36","+0.04","52"
"1446","宏和","80,000","2,351,900","29.05","29.55","29.05","29.20"," 0.00","60"
"1447","力鵬","324,000","1,890,160","5.85","5.86","5.80","5.83","+0.02","138"
"1449","佳和","1,873,000","29,110,500","15.90","16.00","15.10","15.15","-0.25","661"
"1451","年興","296,000","4,349,450","14.50","14.75","14.50","14.70","+0.20","117"
"1452","宏益","150,000","2,525,100","16.85","16.90","16.80","16.80","-0.05","75"
"1453","大將","19,000","131,180","6.89","6.97","6.89","6.89","+0.02","12"
"1454","台富","217,000","1,724,330","7.85","7.97","7.82","7.95"," 0.00","34"
"1455","集盛","697,000","4,982,260","7.16","7.18","7.12","7.15"," 0.00","153"
"1456","怡華","8,000","63,850","8.00","8.05","7.91","8.00","-0.10","7"
"1457","宜進","361,000","4,322,100","12.10","12.10","11.85","11.90","-0.15","129"
